country_code,cap,sto,h
AT,3052.8,662090,216.8795859538784
BA,430,3.4,0.007906976744186046
BE,1308,5710,4.365443425076452
BG,1399,41130,29.399571122230164
CH,4727.5,572240,121.04494976203067
CZ,480,2300,4.791666666666667
DE,7132.3,39878,5.591183769611486
GR,699,183000,261.80257510729615
ES,5477.022,3956593,722.3985954410992
FR,5053,82683,16.36315060360182
HR,276,14800,53.6231884057971
IE,292,1800,6.164383561643835
IT,7134.3,401195,56.23466913362208
LT,900,10800,12
NO,1344.3,4952921.7,3684.387190359295
PL,1705,15690,9.20234604105572
PT,4018,493380,122.79243404678945
SE,36,72120,2003.3333333333333
UK,2905,25430,8.753872633390706
